time,delta_mag,error
2454093.939,-0.003795,0.00147
2454093.943,-0.005695,0.00146
2454093.948,0.006675,0.00144
2454093.953,0.001195,0.00148
2454093.957,-0.005915,0.00145
2454093.963,-0.006045,0.00145
2454093.969,0.000575,0.00148
2454093.974,-0.001785,0.00147
2454093.98,0.003145,0.0014
2454093.985,-0.002805,0.00139
2454093.991,-0.007685,0.00147
2454093.997,-0.002455,0.00143
2454094.002,-0.001235,0.00143
2454094.008,0.003785,0.00142
2454094.013,0.004275,0.00148
2454094.019,0.006365,0.00145
2454094.024,-0.004925,0.00147
2454094.03,0.004475,0.00144
2454094.032,-0.008465,0.00143
2454094.043,0.0041,0.00155
2454094.043,0.0041,0.00155
2454094.048,-0.00863,0.00159
2454094.048,-0.00863,0.00159
2454094.933,0.002255,0.00148
2454094.938,0.000205,0.00149
2454094.943,0.000275,0.00147
2454094.948,-0.003485,0.00148
2454094.952,-0.009355,0.00148
2454094.958,-0.005265,0.00143
2454094.963,-0.001215,0.00147
2454094.969,0.000775,0.00143
2454094.975,-0.007645,0.00145
2454094.98,0.003795,0.00144
2454094.986,-0.004485,0.00145
2454094.991,0.004515,0.00145
2454094.997,-0.010325,0.00144
2454095.002,0.007225,0.00147
2454095.008,-0.004175,0.00143
2454095.013,0.000625,0.00148
2454095.019,-0.001395,0.00146
2454095.025,-0.004915,0.00148
2454095.027,0.004005,0.00147
2454095.032,-0.012685,0.00147
2454095.042,-0.00391,0.00155
2454095.042,-0.00391,0.00155
2454095.048,-0.00467,0.00155
2454095.048,-0.00467,0.00155
2454095.918,-0.000705,0.00141
2454095.923,0.001765,0.00145
2454095.928,-0.004815,0.00144
2454095.933,-0.011365,0.00146
2454095.937,-0.005185,0.00142
2454095.942,0.002345,0.00139
2454095.947,0.009215,0.00163
2454095.952,-0.001445,0.00139
2454095.957,-0.002505,0.0014
2454095.963,0.000375,0.00144
2454095.968,0.000275,0.00145
2454095.974,0.004445,0.00139
2454095.979,-0.010025,0.00141
2454095.985,-0.001645,0.00145
2454095.991,0.000475,0.00142
2454095.996,-0.004265,0.0014
2454096.002,-0.000995,0.0014
2454096.007,0.003625,0.00143
2454096.009,0.003235,0.0014
2454096.014,-0.003675,0.00142
2454096.019,-0.008205,0.00142
2454096.024,0.000465,0.00139
2454096.028,-0.010235,0.00142
2454096.039,-0.00535,0.0016
2454096.039,-0.00535,0.0016
2454096.045,-0.0168,0.00159
2454096.045,-0.0168,0.00159
2454096.05,-0.01436,0.0016
2454096.05,-0.01436,0.0016
2454116.863,0.005255,0.00148
2454116.868,0.003955,0.00147
2454116.872,0.001345,0.00148
2454116.877,0.000395,0.00149
2454116.882,-0.000685,0.00151
2454116.897,0.002775,0.00148
2454116.902,-0.001045,0.00149
2454116.908,0.009675,0.0015
2454116.914,0.006825,0.0015
2454116.919,0.003315,0.00146
2454116.925,0.008595,0.00144
2454116.93,-0.003295,0.00151
2454116.936,0.004575,0.00147
2454116.941,0.009915,0.00147
2454116.947,0.011805,0.00147
2454116.953,0.003155,0.00148
2454116.955,0.005045,0.0015
2454116.959,0.005285,0.00147
2454116.964,0.002295,0.00151
2454116.969,0.013095,0.0015
2454116.98,0.00228,0.00145
2454116.98,0.00228,0.00145
2454116.985,-0.00151,0.00146
2454116.985,-0.00151,0.00146
2454116.991,0.0126,0.00149
2454116.991,0.0126,0.00149
2454116.996,0.01123,0.00149
2454116.996,0.01123,0.00149
2454117.002,0.00942,0.00151
2454117.002,0.00942,0.00151
2454117.007,0.00668,0.0015
2454117.007,0.00668,0.0015
2454117.013,-0.00337,0.0015
2454117.013,-0.00337,0.0015
2454117.019,0.00141,0.00152
2454117.019,0.00141,0.00152
2454117.024,0.0029,0.00154
2454117.024,0.0029,0.00154
2454117.03,-0.00633,0.00155
2454117.03,-0.00633,0.00155
2454117.035,0.00347,0.00152
2454117.035,0.00347,0.00152
2454117.041,0.00125,0.00151
2454117.041,0.00125,0.00151
2454117.046,-0.00733,0.00154
2454117.046,-0.00733,0.00154
2454117.838,0.008895,0.00147
2454117.843,0.000995,0.00148
2454117.848,0.011815,0.00148
2454117.852,-0.000275,0.0015
2454117.857,0.002845,0.00147
2454117.862,-0.000595,0.00147
2454117.867,-0.000355,0.00149
2454117.871,-0.000465,0.00148
2454117.876,0.010155,0.0015
2454117.881,-0.001575,0.00149
2454117.886,0.005335,0.00151
2454117.89,0.013285,0.00151
2454117.896,0.002565,0.00151
2454117.901,0.011145,0.0015
2454117.907,0.006835,0.00148
2454117.913,0.000195,0.00149
2454124.805,-0.010415,0.00146
2454124.81,0.004155,0.00144
2454124.814,-0.003665,0.00147
2454124.819,-0.005345,0.00145
2454124.824,-0.004045,0.00144
2454124.828,0.005965,0.00144
2454124.833,0.004165,0.00146
2454124.838,-0.006985,0.00143
2454124.843,0.001565,0.00144
2454124.847,0.001215,0.00147
2454124.852,-0.001785,0.00146
2454124.857,-0.008385,0.00145
2454124.862,-0.000815,0.00145
2454124.866,0.004255,0.00145
2454124.871,0.006305,0.00145
2454124.877,0.000345,0.00145
2454124.882,0.004335,0.00141
2454124.884,-0.000465,0.00142
2454124.889,0.001705,0.00136
2454124.894,-0.002965,0.00145
2454124.899,0.004825,0.00142
2454124.903,0.001415,0.00138
2454124.908,-0.002845,0.0014
2454124.913,-0.005685,0.00143
2454124.917,-0.002655,0.00144
2454124.922,-0.005145,0.00144
2454124.927,-0.013055,0.00144
2454124.932,-0.002315,0.00145
2454124.936,0.006245,0.00143
2454124.941,-0.003875,0.00147
2454124.946,0.003865,0.00143
2454124.951,-0.004445,0.00145
2454140.769,-0.011055,0.00139
2454140.773,0.002975,0.00138
2454140.778,-0.001245,0.00139
2454140.783,-0.006735,0.0014
2454140.788,-0.001145,0.00141
2454140.792,-0.001055,0.0014
2454140.797,-0.003595,0.00141
2454140.802,-0.008245,0.00142
2454140.806,-0.006665,0.00142
2454140.811,-0.005705,0.00142
2454140.816,0.001965,0.00142
2454141.769,0.017685,0.0014
2454141.779,0.019085,0.00128
2454141.784,-0.008665,0.0014
2454141.788,0.005065,0.00137
2454141.793,0.015505,0.00128
2454141.798,-0.008535,0.00142
2454141.803,-0.006085,0.0014
2454141.807,0.001305,0.00139
2454141.812,0.000285,0.00141
2454141.817,-0.001165,0.00141
2454141.821,0.002555,0.0014
2454141.826,0.004935,0.00142
2454141.832,-0.001325,0.00139
2454141.837,-0.001305,0.00147
2454141.843,0.011905,0.00147
2454141.845,0.014245,0.00139
2454141.85,-0.008305,0.00142
2454141.855,0.003685,0.00137
2454141.859,0.000525,0.0014
2454141.864,-0.005165,0.00145
2454141.869,-0.000695,0.00141
2454141.873,-0.010965,0.00145
2454141.878,-0.001895,0.00142
2454141.883,-0.009395,0.00144
2454141.888,-0.005035,0.00141
2454141.892,0.000185,0.00143
2454141.897,-0.008885,0.00145
2454147.748,-0.008585,0.00147
2454147.753,0.001015,0.00145
2454147.758,-0.008675,0.0015
2454147.763,-0.008765,0.00147
2454147.767,-0.002175,0.00147
2454147.772,-0.001585,0.00147
2454147.777,-0.010325,0.00147
2454147.782,-0.006325,0.00149
2454147.786,-0.006315,0.00147
2454147.791,-0.004085,0.00146
2454147.796,0.000185,0.00148
2454147.8,0.000875,0.00148
2454147.805,0.001165,0.00145
2454147.81,-0.012155,0.00145
2454147.815,0.002275,0.00143
2454147.821,-0.007455,0.00142
2454147.827,0.001335,0.00145
2454147.829,-0.001535,0.00138
2454147.834,-0.007815,0.00147
2454147.838,-0.000435,0.00145
2454147.843,-0.005475,0.00137
2454147.848,-0.004025,0.00149
2454147.852,-0.005575,0.00149
2454147.857,0.004995,0.00149
2454147.862,-0.001545,0.00148
2454147.867,-0.003375,0.00145
2454147.871,0.003815,0.00147
2454147.876,0.005285,0.00145
2454147.881,0.000665,0.00151
2454147.886,0.003045,0.00148
2454147.896,0.00059,0.00156
2454147.896,0.00059,0.00156
2454147.902,0.00301,0.00155
2454147.902,0.00301,0.00155
2454147.907,-0.0164,0.00155
2454147.907,-0.0164,0.00155
2454148.75,0.006405,0.00142
2454148.755,-0.003905,0.00143
2454148.76,-0.006395,0.00146
2454148.764,-0.005255,0.00144
2454148.769,-0.006975,0.00143
2454148.774,-0.007615,0.00144
2454148.778,-0.004615,0.00144
2454148.783,-0.016325,0.00144
2454148.788,-0.003655,0.00142
2454148.793,-0.006095,0.00144
2454148.797,0.000125,0.00143
2454148.802,0.007915,0.00142
2454148.807,0.003425,0.00142
2454148.812,-0.007815,0.00142
2454148.818,-0.007745,0.00141
2454148.824,-0.003205,0.00137
2454148.826,0.006595,0.00141
2454148.83,-0.013515,0.00141
2454148.835,-0.008895,0.00146
2454148.84,-0.005905,0.00141
2454148.845,-0.008615,0.00141
2454148.849,0.003915,0.00141
2454148.854,0.002055,0.00145
2454148.859,0.006315,0.00141
2454148.864,-0.002165,0.00143
2454148.868,0.005315,0.00143
2454148.873,-0.001255,0.00142
2454148.878,-0.010755,0.00145
2454148.882,-0.005765,0.00144
2454148.893,-0.00326,0.00159
2454148.893,-0.00326,0.00159
2454148.899,-0.00703,0.0016
2454148.899,-0.00703,0.0016
2454148.904,-0.01883,0.00158
2454148.904,-0.01883,0.00158
2454152.737,0.003745,0.00139
2454152.742,-0.001345,0.00142
2454152.747,-0.007355,0.00142
2454152.751,-0.005035,0.0014
2454152.756,0.005225,0.0014
2454152.761,0.002895,0.00141
2454152.765,-0.004915,0.00143
2454152.77,-0.008135,0.00142
2454152.775,0.004245,0.00141
2454152.78,0.006365,0.0014
2454152.784,0.000455,0.00141
2454152.789,-0.002465,0.00142
2454152.794,-0.004935,0.00141
2454152.799,0.005825,0.00141
2454152.805,-0.005315,0.00139
2454152.81,0.008785,0.00138
2454153.731,-0.007665,0.00136
2454153.736,0.003065,0.00139
2454153.74,0.002425,0.00142
2454153.745,-0.001565,0.00144
2454153.75,-0.009835,0.00142
2454153.754,0.011255,0.00137
2454153.759,0.003675,0.0014
2454153.764,0.001275,0.00146
2454153.769,0.007555,0.0013
2454153.783,0.005165,0.00118
2454153.788,0.014355,0.00131
2454153.792,0.014635,0.00138
2454153.798,0.008245,0.00134
2454153.815,0.016805,0.00133
2454153.825,0.021605,0.00134
2454153.829,0.018165,0.00133
2454154.726,-0.001095,0.00144
2454154.731,0.004465,0.00146
2454154.736,0.000965,0.00143
2454154.74,0.001305,0.00143
2454154.745,-0.005365,0.00144
2454154.75,-0.001985,0.00143
2454154.754,0.001535,0.00144
2454154.759,-0.005025,0.00144
2454154.764,-0.000145,0.00142
2454154.769,-0.000445,0.00141
2454154.773,0.003255,0.00142
2454154.778,0.000825,0.00142
2454154.783,-0.004625,0.00142
2454154.788,0.006445,0.00143
2454154.793,-0.003015,0.00138
2454154.799,-0.003745,0.00142
2454154.804,-0.002025,0.0014
2454154.806,0.003675,0.00144
2454154.811,-0.005925,0.00142
2454154.816,0.002615,0.0014
2454154.821,0.002085,0.00136
2454154.825,-0.013085,0.00143
2454154.83,-0.000405,0.00141
2454154.835,-0.002905,0.00141
2454154.84,-0.004325,0.00143
2454154.844,0.004035,0.0014
2454154.849,-0.000105,0.00142
2454154.854,0.004595,0.0014
2454154.858,-0.005835,0.00142
2454154.863,0.007505,0.00141
2454154.868,-0.002545,0.00139
2454154.873,-0.01058,0.00163
2454154.873,-0.01058,0.00163
2454417.976,0.003645,0.00142
2454417.981,-0.003105,0.00144
2454417.985,0.001985,0.00143
2454418.975,-0.008355,0.00144
2454418.98,-0.004255,0.00143
2454418.984,-0.001255,0.00142
2454421.966,-0.003625,0.00143
2454421.971,0.000855,0.00142
2454421.975,0.005585,0.00141
2454421.98,0.002555,0.0014
2454421.984,0.004075,0.00141
2454422.964,-0.001685,0.00142
2454422.968,0.002115,0.00142
2454422.973,0.001055,0.00141
2454422.977,0.000625,0.00141
2454422.982,-0.000585,0.00143
2454422.986,-0.002225,0.00143
2454423.962,0.006065,0.00142
2454423.967,0.004265,0.00141
2454423.971,0.006745,0.00141
2454423.976,-0.002895,0.00142
2454423.981,0.000505,0.00145
2454423.985,-0.009335,0.00144
2454423.99,-0.009335,0.00142
2454424.958,0.017465,0.00139
2454424.963,-0.001775,0.0014
2454424.967,-0.014235,0.00143
2454424.972,0.000015,0.00142
2454424.976,0.004845,0.00138
2454424.981,0.012565,0.00142
2454424.985,-0.010115,0.00141
2454424.99,-0.011955,0.00142
2454425.966,0.010175,0.00146
2454425.97,0.003865,0.00145
2454425.975,0.007755,0.00143
2454425.979,0.003945,0.00144
2454425.984,-0.000715,0.00143
2454425.988,-0.004365,0.00143
2454425.993,0.001965,0.00144
2454425.997,0.004795,0.00142
2454438.927,-0.014025,0.00146
2454438.931,-0.002295,0.00146
2454438.936,-0.000395,0.00145
2454438.94,0.002585,0.00147
2454438.945,-0.000555,0.00146
2454438.949,-0.006275,0.00146
2454438.954,-0.013245,0.00146
2454438.959,0.003745,0.00145
2454438.963,0.001815,0.00148
2454438.968,-0.002105,0.00148
2454438.972,-0.004505,0.00147
2454438.977,-0.003405,0.00148
2454438.981,-0.006775,0.00148
2454438.986,0.001685,0.00147
2454438.99,0.007805,0.00147
2454438.995,0.000215,0.00148
2454438.999,0.001275,0.00149
2454439.93,-0.021665,0.00145
2454439.934,-0.005825,0.00142
2454439.939,-0.002585,0.00142
2454439.943,0.000035,0.00143
2454439.948,-0.006955,0.00142
2454439.952,-0.002335,0.00143
2454439.957,-0.001545,0.00145
2454439.961,0.001185,0.00142
2454439.966,-0.003975,0.00143
2454439.97,-0.003785,0.00143
2454439.975,-0.002545,0.00142
2454439.979,-0.008335,0.00142
2454439.984,0.006285,0.00143
2454439.988,-0.007145,0.00144
2454439.993,-0.012745,0.00146
2454439.998,-0.006455,0.00144
2454440,-0.004655,0.00145
2454440.004,-0.006035,0.00145
2454447.913,-0.006185,0.00151
2454447.918,-0.004285,0.0015
2454447.922,-0.004125,0.00147
2454447.927,0.004395,0.00149
2454447.931,0.000485,0.00149
2454447.936,0.002915,0.00149
2454447.94,0.000635,0.0015
2454447.945,0.000165,0.00147
2454447.949,0.002875,0.0015
2454447.954,-0.001045,0.00151
2454447.958,-0.003435,0.00149
2454447.963,-0.003915,0.00151
2454447.967,-0.002085,0.00149
2454447.972,-0.000275,0.00147
2454447.976,0.004925,0.00151
2454447.981,0.007655,0.00149
2454447.983,0.000955,0.00148
2454447.988,0.001345,0.00151
2454447.992,0.000525,0.00149
2454447.997,0.000135,0.00148
2454448.001,0.001685,0.00148
2454448.006,0.004795,0.00149
2454448.01,0.002775,0.00148
2454449.975,0.006975,0.00147
2454449.979,0.010975,0.00147
2454449.984,0.000815,0.00145
2454449.989,-0.006245,0.00148
2454449.993,0.003665,0.00149
2454449.998,0.008605,0.00148
2454450.002,0.007455,0.00142
2454450.007,0.000195,0.00144
2454450.896,0.000045,0.00148
2454450.901,-0.003725,0.0015
2454450.905,-0.010705,0.0015
2454450.91,0.003155,0.00149
2454450.914,0.001165,0.00148
2454450.919,0.005015,0.00149
2454450.924,-0.004165,0.0015
2454450.928,-0.008445,0.00149
2454450.933,0.004055,0.00147
2454450.937,-0.000725,0.00148
2454450.942,0.000595,0.00149
2454450.946,0.004685,0.0015
2454450.951,-0.006315,0.00149
2454450.956,-0.005245,0.00147
2454450.96,0.005395,0.00147
2454450.965,0.003275,0.00149
2454450.969,-0.001195,0.00148
2454450.971,0.006525,0.00146
2454450.976,0.005505,0.00149
2454450.98,0.002695,0.00149
2454450.985,0.001815,0.00147
2454450.99,-0.002215,0.00149
2454450.994,0.008135,0.00148
2454450.999,-0.000605,0.00147
2454451.003,-0.005025,0.00148
2454451.886,0.011055,0.00146
2454451.89,0.008145,0.00148
2454451.895,0.008065,0.00149
2454451.899,0.004835,0.00151
2454451.904,0.004595,0.00146
2454451.913,0.005505,0.00133
2454451.917,0.001155,0.00163
2454451.922,0.014245,0.00133
2454451.926,0.005005,0.00149
2454451.931,0.001465,0.00149
2454451.936,0.001795,0.00149
2454451.94,-0.002025,0.0015
2454451.945,-0.000805,0.00146
2454451.949,0.006095,0.00147
2454451.954,-0.000395,0.00148
2454451.956,-0.002385,0.00148
2454451.96,0.005345,0.00147
2454451.965,-0.000435,0.00147
2454451.969,0.007355,0.00149
2454451.974,-0.004515,0.00148
2454451.978,0.001795,0.00144
2454451.983,-0.000975,0.00148
2454451.987,0.008065,0.00147
2454451.992,0.004285,0.00142
2454451.996,-0.004615,0.00144
2454452.894,0.001795,0.00146
2454452.898,0.007615,0.00147
2454452.903,0.004975,0.00145
2454452.908,-0.004955,0.00149
2454452.912,-0.001395,0.00148
2454452.917,0.003615,0.0015
2454452.921,0.001025,0.00148
2454452.926,-0.001455,0.00148
2454452.931,-0.004515,0.00148
2454452.935,0.000525,0.00147
2454452.94,0.003575,0.00147
2454452.944,-0.002065,0.00148
2454452.949,0.001725,0.00145
2454452.953,0.005065,0.00147
2454452.958,0.002865,0.00146
2454452.963,0.002015,0.00147
2454452.965,-0.000735,0.00148
2454452.969,0.006895,0.00149
2454452.974,-0.001375,0.0015
2454452.978,0.006175,0.00142
2454452.983,-0.003025,0.00146
2454452.988,0.001615,0.00148
2454452.992,0.007435,0.00147
2454452.997,-0.003405,0.00147
2454453.001,-0.000455,0.00147
2454453.006,0.000265,0.00143
2454453.887,0.004515,0.0015
2454453.892,0.000255,0.00147
2454453.896,0.000055,0.00148
2454453.901,-0.007245,0.00148
2454453.905,-0.016065,0.00149
2454453.91,0.002485,0.00147
2454453.914,0.002205,0.00148
2454453.919,-0.004345,0.00147
2454453.923,-0.000015,0.00148
2454453.928,-0.003455,0.00148
2454453.932,0.004625,0.00147
2454453.937,-0.002025,0.00149
2454453.942,-0.005595,0.00148
2454453.946,0.003145,0.00147
2454453.951,0.002105,0.00147
2454453.955,-0.005765,0.00148
2454453.957,-0.002515,0.00147
2454453.962,0.000275,0.00146
2454453.966,0.003545,0.0015
2454453.971,0.001205,0.00149
2454453.975,0.003115,0.00145
2454453.98,-0.003415,0.0015
2454453.984,0.008945,0.0015
2454453.989,0.004455,0.00149
2454453.993,0.003145,0.00148
2454453.998,0.000435,0.00145
2454454.002,0.000595,0.00142
2454454.903,0.009545,0.00155
2454454.907,-0.003445,0.00156
2454454.912,0.001725,0.00153
2454454.916,0.000085,0.00155
2454454.921,-0.004485,0.00155
2454454.925,-0.003075,0.00153
2454454.93,0.004075,0.00151
2454454.934,0.000535,0.00149
2454454.939,0.006455,0.0015
2454454.943,0.000605,0.0015
2454454.948,0.004525,0.00147
2454454.952,-0.002205,0.00146
2454454.957,0.004585,0.00148
2454454.962,-0.000725,0.00148
2454454.964,-0.000635,0.00146
2454454.968,0.000765,0.00148
2454454.973,-0.004675,0.00147
2454454.977,-0.002865,0.00148
2454454.982,-0.002035,0.0015
2454454.986,0.003255,0.00143
2454454.991,0.001875,0.00142
2454454.995,-0.004465,0.00151
2454455,0.001635,0.00149
2454455.004,-0.009075,0.00141
2454455.009,-0.006925,0.00143
2454455.931,0.005205,0.00157
2454455.936,0.004135,0.00155
2454455.94,0.003755,0.00159
